TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 03:54:06,163|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,197|34|10|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,231|34|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,238|7|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,322|60|84|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,366|1|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,366|0|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,369|3|14|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,370|0|14|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,371|1|15|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,371|0|15|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,371|0|15|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,379|8|23|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:54:06,379|56|24|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
