TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 03:44:02,865|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:02,939|74|15|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:02,957|18|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:02,958|1|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,139|161|180|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,161|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,162|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,165|3|12|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,165|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,166|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,166|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,166|0|14|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,172|6|20|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,172|33|20|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,212|50|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,243|81|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,245|25|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,257|37|12|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,278|21|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,297|43|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,299|134|2|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,299|45|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,305|6|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,319|153|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,319|20|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,322|23|3|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,327|5|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,343|177|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,346|26|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,348|28|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,351|3|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,365|199|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,371|28|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,373|30|2|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,392|226|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,403|38|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,411|46|8|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,414|40|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,427|255|4|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,439|27|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,442|48|3|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,448|54|10|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,470|22|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,482|54|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,491|63|9|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 03:44:03,500|9|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
