TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-12-23 14:37:43,656|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,685|28|24|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,690|5|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,714|24|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,812|69|97|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,818|0|5|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,819|0|5|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,826|7|12|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,826|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,826|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,826|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,827|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,831|4|18|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,831|19|18|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,844|25|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,854|10|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,855|11|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,871|52|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,875|20|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,883|12|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,885|14|2|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,896|70|1|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,896|11|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,911|15|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,915|19|4|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,920|94|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:37:43,921|6|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
