TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-03-11 15:41:31,020|2|411|e8b0d533|Listen for Document Upload Request|CJMS|success|392b79a8|Upload Document|Filename: a182afab-bcc2-45b8-9617-c7fb586beee2 | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=DE5FE1D0064E49C5AFB8D83F225DAC3F, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=130000,companyId=1,username=mirnaisl,createdDateTime=Tue Mar 11 15:41:30 ICT 2025,locale=EN,map=StringObjectMap%5BCONTRACT_AGR = byte%5B274313%5D, FRONT_ID = byte%5B333705%5D, REFERENCE_ID = 1000000044, PHOTOGRAPH = byte%5B274313%5D, CONFIRMER_IDFRONTSIDE = , PAY_SLIP = byte%5B5050%5D, CONFIRMER_FORM = , BACK_ID = , REQ_LETTER = byte%5B83129%5D, CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = INDIV_REG, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001561,appActionId=100006%5D, datum=null}
2025-03-11 15:41:31,042|13|0|9baf2689|POJO or JSON?|ROA|POJO|5404b26b|Inspect Request|
2025-03-11 15:41:31,081|39|37|d3b4687a|ReqMsg to JSON|PTJ|success|5404b26b|Inspect Request|
2025-03-11 15:41:31,097|15|10|c960f06f|Store Request Data in Attributes|EJP|matched|5404b26b|Inspect Request|
2025-03-11 15:41:31,104|6|0|7aab87e4|Set Initial Attribute values|UA|success|5404b26b|Inspect Request|
2025-03-11 15:41:31,114|10|0|f73b4f05|Set Initial Status|UA|success|5404b26b|Inspect Request|
2025-03-11 15:41:31,135|11|0|5b8e70a2|Fetch Use Case Validation Parameters|ESQLR|pre|6ef2a210|cache and strip document|
2025-03-11 15:41:31,142|18|6|5b8e70a2|Fetch Use Case Validation Parameters|ESQLR|success|6ef2a210|cache and strip document|
2025-03-11 15:41:31,148|6|0|1b62f5d8|Fetch Document Validation Data|ESQLR|pre|6ef2a210|cache and strip document|
2025-03-11 15:41:31,166|24|18|1b62f5d8|Fetch Document Validation Data|ESQLR|success|6ef2a210|cache and strip document|
2025-03-11 15:41:31,177|10|0|57bf243c|set filename|UA|success|6ef2a210|cache and strip document|
2025-03-11 15:41:31,181|4|1|7b7d81ff|Cache Request|PF|success|6ef2a210|cache and strip document|
2025-03-11 15:41:31,202|21|16|2b6d72a4|Remove documents in crmFormData map|EGS|success|6ef2a210|cache and strip document|
2025-03-11 15:41:31,231|3|1|9f422179|get cached request|FF|success|65d01458|Validate Upload Request|
2025-03-11 15:41:31,258|1|9|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,261|3|12|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,262|1|14|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,263|1|14|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,264|1|15|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,264|0|16|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,264|0|16|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,265|0|16|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,265|0|17|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,265|0|17|2e278f5c|Split into individual flowfiles per document|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,279|16|0|12d0d7a8|Empty file (not mandatoy)|ROA|Empty file|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,283|18|0|12d0d7a8|Empty file (not mandatoy)|ROA|Empty file|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,284|19|0|12d0d7a8|Empty file (not mandatoy)|ROA|Empty file|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,286|21|0|12d0d7a8|Empty file (not mandatoy)|ROA|Empty file|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,287|22|0|12d0d7a8|Empty file (not mandatoy)|ROA|Empty file|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,287|29|0|12d0d7a8|Empty file (not mandatoy)|ROA|unmatched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,288|27|0|12d0d7a8|Empty file (not mandatoy)|ROA|unmatched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,289|27|0|12d0d7a8|Empty file (not mandatoy)|ROA|unmatched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,290|3|0|49d442d1|set target|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,291|12|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,291|27|0|12d0d7a8|Empty file (not mandatoy)|ROA|unmatched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,292|9|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,292|28|0|12d0d7a8|Empty file (not mandatoy)|ROA|unmatched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,294|4|0|27f75d84|decode image|Base64EncodeContent|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,294|10|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,295|1|0|658fef20|IdentifyMimeType|IdentifyMimeType|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,296|10|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,297|10|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,305|9|0|0df079d7|check if filetype is allowed|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,308|20|0|49d442d1|set target|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,309|20|0|49d442d1|set target|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,311|20|0|49d442d1|set target|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,312|20|0|49d442d1|set target|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,316|10|0|4fbbc0cc|set filename|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,322|14|5|27f75d84|decode image|Base64EncodeContent|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,325|9|0|b0c7717b|fileType Allowed?|ROA|fileTypeAllowed|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,328|19|4|27f75d84|decode image|Base64EncodeContent|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,329|7|0|658fef20|IdentifyMimeType|IdentifyMimeType|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,329|4|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,338|27|7|27f75d84|decode image|Base64EncodeContent|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,338|9|0|0df079d7|check if filetype is allowed|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,341|12|0|658fef20|IdentifyMimeType|IdentifyMimeType|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,341|29|1|27f75d84|decode image|Base64EncodeContent|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,342|4|0|658fef20|IdentifyMimeType|IdentifyMimeType|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,344|3|1|658fef20|IdentifyMimeType|IdentifyMimeType|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,348|10|0|4fbbc0cc|set filename|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,351|10|0|0df079d7|check if filetype is allowed|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,352|8|0|0df079d7|check if filetype is allowed|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,353|11|0|0df079d7|check if filetype is allowed|EGS|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,360|12|0|b0c7717b|fileType Allowed?|ROA|fileTypeAllowed|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,362|11|0|4fbbc0cc|set filename|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,364|4|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,365|13|0|4fbbc0cc|set filename|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,366|13|0|4fbbc0cc|set filename|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,380|18|0|b0c7717b|fileType Allowed?|ROA|fileTypeAllowed|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,384|19|0|b0c7717b|fileType Allowed?|ROA|fileTypeAllowed|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,385|19|0|b0c7717b|fileType Allowed?|ROA|fileTypeAllowed|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,388|7|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,390|6|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,391|6|0|8b1feb18|Set success content|RT|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|1|1|134e9650|Join documents back together|MC|merged|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|211|1|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|176|1|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|152|1|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|249|1|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,540|149|1|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,541|151|2|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,541|249|2|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,541|247|2|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,541|245|2|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,541|243|2|134e9650|Join documents back together|MC|original|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,545|5|0|b5022f5d|Evaluate success/failure|EJP|matched|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,551|6|0|bb39bd08|Trim success/failure attribute for evaluation|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,559|8|0|af852ea9|All files valid?|ROA|All file types valid|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,570|11|1|76f40643|get cached request|FF|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,579|8|0|38718da0|Set mime type back to json|UA|success|75a8e9d9|Get file type and validate |
2025-03-11 15:41:31,607|27|25|098de0d9|Validate Content of Upload Request|EGS|success|65d01458|Validate Upload Request|
2025-03-11 15:41:31,612|5|0|e9c04cd4|Request valid?|ROA|unmatched|65d01458|Validate Upload Request|
2025-03-11 15:41:31,631|19|17|aff280dc|Remove documents in crmFormData map|UR|success|65d01458|Validate Upload Request|
2025-03-11 15:41:31,643|5|0|53eb6433|Check if web-api|ROA|unmatched|905140c3|Upload Document|
2025-03-11 15:41:31,649|6|0|689c138f|Set responseSent=true|UA|success|905140c3|Upload Document|
2025-03-11 15:41:31,649|6|0|f8337af9|Prepare Success Response|RT|success|905140c3|Upload Document|
2025-03-11 15:41:31,670|11|0|bbb2c64d|Find existing use case trx|ESQLR|pre|350ff615|Store Documents|
2025-03-11 15:41:31,673|14|3|bbb2c64d|Find existing use case trx|ESQLR|success|350ff615|Store Documents|
2025-03-11 15:41:31,677|4|0|dd03f07a|Extract Use Case Trx Id|UA|success|350ff615|Store Documents|
2025-03-11 15:41:31,682|7|0|db34ef7c|responseSent=true?|ROA|unmatched|6368f403|Convert Response|
2025-03-11 15:41:31,683|6|1|a0e3ae43|get cached request|FF|success|350ff615|Store Documents|
2025-03-11 15:41:31,684|2|0|ae7aad1b|POJO or JSON?|ROA|POJO|6368f403|Convert Response|
2025-03-11 15:41:31,686|2|0|c1188356|RespMsg JSON to POJO|JTP|success|6368f403|Convert Response|
2025-03-11 15:41:31,699|0|12|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,701|2|14|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,704|3|17|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,705|1|18|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,705|8|3|cf63b85c|Response for Document Upload Request|PJMS|pre|392b79a8|Upload Document|Filename: 2085858130543849 | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Response sent :  'ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA.RESP' :RespMsg{id=DE5FE1D0064E49C5AFB8D83F225DAC3F, name=ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA, resultCode=ResultCode{code=200, desc=Success}, dataObject=String%5B59%5D,instanceId=130000,respCode=200,respDesc=Success. Document is being process.,createdDateTime=Tue Mar 11 15:41:31 ICT 2025%5D, datum=null}
2025-03-11 15:41:31,708|2|21|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,709|1|22|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,709|0|22|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,710|0|23|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
2025-03-11 15:41:31,711|1|23|83b3c328|Split into individual flowfiles per document|EGS|success|350ff615|Store Documents|
