TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 04:34:19,495|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,542|47|11|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,544|2|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,555|11|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,669|95|114|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,713|1|6|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,713|0|7|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,716|3|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,716|0|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,716|0|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,717|1|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,717|0|10|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,722|5|15|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,722|53|15|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,744|31|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,770|57|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,772|28|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,782|38|9|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,796|14|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,801|85|2|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,806|35|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,811|40|5|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:34:19,818|7|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
