TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 04:04:09,567|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,610|42|9|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,638|28|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,655|17|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,778|86|123|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,833|0|38|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,838|0|43|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,846|8|51|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,847|0|52|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,847|0|52|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,847|0|52|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,848|1|53|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,864|16|69|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,864|85|70|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,883|45|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,911|21|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,916|26|5|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,917|79|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,922|6|5|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,940|23|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,946|29|6|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,951|104|3|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,968|17|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,969|122|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,977|28|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:04:09,977|26|8|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
