TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 04:33:00,024|0|0|1182e6f3|Schedule trigger |GFF|success|7996841b|Send Email Check Max|
2025-11-26 04:33:00,066|42|8|8f92847b|Update Schedule last run|PSQL|success|7996841b|Send Email Check Max|
2025-11-26 04:33:00,088|22|0|34df53d4|Valid Instance ?|ROA|Valid Instance|7996841b|Send Email Check Max|
2025-11-26 04:33:00,155|20|0|ae7695b2|Set Table Name|UA|success|41794ded|Process Edit Check Max|
2025-11-26 04:33:00,166|22|0|26546907|UpdateAttribute|UA|success|281599f2|Process Confirmer Edit Check Max|
2025-11-26 04:33:00,172|6|0|85ec7a12|Schedule Query from ISL_CHK_MAX_EDIT|ESQLR|pre|281599f2|Process Confirmer Edit Check Max|
2025-11-26 04:33:00,173|32|0|3df41125|Set Table Name|UA|success|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,191|36|0|603c19f6|Schedule Query from ISL_CHK_MAX_REACH|ESQLR|pre|41794ded|Process Edit Check Max|
2025-11-26 04:33:00,197|24|0|c12cd1dc|Schedule Query from ISL_CHK_MAX_REACH|ESQLR|pre|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,222|134|83|486d3fcc|Log Audit Trail|PSQL|failure|7996841b|Send Email Check Max|
2025-11-26 04:33:00,415|30|224|603c19f6|Schedule Query from ISL_CHK_MAX_REACH|ESQLR|success|41794ded|Process Edit Check Max|
2025-11-26 04:33:00,418|34|221|c12cd1dc|Schedule Query from ISL_CHK_MAX_REACH|ESQLR|success|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,431|0|3|45d02662|SplitJson|SJ|split|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,432|0|4|45d02662|SplitJson|SJ|split|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,432|0|4|45d02662|SplitJson|SJ|split|a222a8e5|Process  ISL_CHK_MAX_REACH|
2025-11-26 04:33:00,432|0|4|45d02662|SplitJson|SJ|split|a222a8e5|Process  ISL_CHK_MAX_REACH|
