TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-12-23 14:47:46,242|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,286|44|17|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,317|31|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,342|25|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,456|89|114|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,491|0|5|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,491|0|5|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,494|3|8|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,494|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,495|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,495|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,495|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,506|11|20|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,506|49|20|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,531|40|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,553|62|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,561|30|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,563|32|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,574|80|1|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,581|18|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,583|30|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,587|34|4|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,594|99|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,601|13|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,608|34|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,610|36|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,615|120|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,622|12|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,630|36|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,632|38|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,634|139|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,644|12|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,654|39|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,656|41|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,658|163|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,667|11|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,676|41|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-12-23 14:47:46,678|43|1|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
