TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-11-26 04:44:22,872|0|0|680dd9f5|Schedule trigger|GFF|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:22,890|18|5|c1c2242a|Update Schedule last run datetime|PSQL|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:22,903|13|0|a39945d3|check concurrence instance run|ROA|valid instance|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:22,921|18|0|7c76ce4e|Find all in-progress jobs|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,017|77|96|7c76ce4e|Find all in-progress jobs|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,042|2|8|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,042|0|9|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,045|3|12|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,046|0|12|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,046|0|12|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,047|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,047|0|13|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,055|8|22|2bc8819a|SplitJson|SJ|split|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,055|38|22|2bc8819a|SplitJson|SJ|original|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,073|31|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,085|12|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,091|18|5|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,101|59|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,113|22|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,119|18|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,126|25|6|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,129|83|2|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,139|13|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,147|17|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,149|19|2|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,151|105|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,159|10|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,179|28|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,182|135|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,182|31|3|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,191|8|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,209|25|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,210|163|0|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,217|33|7|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,231|184|1|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,240|30|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,242|32|2|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,247|30|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,262|207|4|f35b2064|Extract Bulk Id|EJP|matched|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,271|40|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,273|42|2|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,275|32|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,295|32|0|7ef60438|Find in-progress jobs by bulk id|ESQLR|pre|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,297|24|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,400|137|105|7ef60438|Find in-progress jobs by bulk id|ESQLR|success|f5950210|Corp Sim Bulk Master Job|
2025-11-26 04:44:23,427|27|0|9721ed8a|All child jobs finished|ROA|count > 0|f5950210|Corp Sim Bulk Master Job|
