TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-07-14 21:12:02,116|0|738|8aa0a79c|Listen for Document Upload Request|CJMS|success|26359b31|Upload Document|Filename: 0aeda81a-ee26-46a0-8ea5-29364dad4443 | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=2517ED5548384594B2BA4C9BF6040A1D, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=110009,companyId=1,createdDateTime=Mon Jul 14 21:12:02 ICT 2025,locale=EN,map=StringObjectMap%5BCONTRACT_AGR = byte%5B5102%5D, FRONT_ID = byte%5B5102%5D, REFERENCE_ID = 520226, PHOTOGRAPH = byte%5B5102%5D, CONFIRMER_IDFRONTSIDE = , PAY_SLIP = byte%5B5102%5D, CONFIRMER_FORM = , COMP_LICENSE = byte%5B5102%5D, BACK_ID = , REQ_LETTER = byte%5B5102%5D, OTHER2 = , CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = CORPORATE, SAF = byte%5B5102%5D, REFERENCE_ID2 = 520226, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001561,appActionId=100006%5D, datum=null}
2025-07-14 21:12:02,134|8|0|34f12475|POJO or JSON?|ROA|POJO|2461ad8e|Inspect Request|
2025-07-14 21:12:02,146|12|1|b529a33b|ReqMsg to JSON|PTJ|success|2461ad8e|Inspect Request|
2025-07-14 21:12:02,155|9|1|297cf2d8|Store Request Data in Attributes|EJP|matched|2461ad8e|Inspect Request|
2025-07-14 21:12:02,162|7|0|be852864|Set Initial Attribute values|UA|success|2461ad8e|Inspect Request|
2025-07-14 21:12:02,171|9|0|6cab0e8d|Set Initial Status|UA|success|2461ad8e|Inspect Request|
2025-07-14 21:12:02,180|1|0|d1cded52|Fetch Use Case Validation Parameters|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,183|4|3|d1cded52|Fetch Use Case Validation Parameters|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,187|4|0|06fcf341|Fetch Document Validation Data|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,198|15|11|06fcf341|Fetch Document Validation Data|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,200|1|0|dfe745f7|set filename|UA|success|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,208|8|0|ea59f9cf|Cache Request|PF|success|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,212|4|1|d94000ed|Remove documents in crmFormData map|EGS|success|9ef7ecfa|cache and strip document|
2025-07-14 21:12:02,233|3|0|346dc3f2|get cached request|FF|success|a4a389ce|Validate Upload Request|
2025-07-14 21:12:02,244|1|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,244|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,244|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,244|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|1|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,245|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,246|1|3|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,254|9|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-14 21:12:02,256|11|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-14 21:12:02,257|12|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-14 21:12:02,262|17|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-14 21:12:02,263|9|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,265|9|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,266|9|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,268|6|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,291|45|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-14 21:12:02,291|47|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,292|48|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,294|3|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,294|2|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,296|52|3|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,301|7|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,301|10|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,302|8|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,305|9|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,312|11|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,314|12|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,315|10|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,317|2|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,321|9|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,325|7|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,329|8|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,330|5|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,337|8|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,340|10|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,343|99|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,343|98|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,344|99|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,344|99|0|f5ba001a|Empty file (not mandatoy)|ROA|unmatched|b8466a23|Get file type and validate |
2025-07-14 21:12:02,350|7|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,352|14|3|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,354|11|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,356|42|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,356|16|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,356|12|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,357|13|0|832d451c|set target|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,361|11|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,365|3|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,367|1|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,372|16|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,373|5|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,374|20|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,374|18|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,375|1|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,375|18|0|0e67af1c|decode image|Base64EncodeContent|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,376|4|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,377|2|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,377|4|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,379|5|0|2bf5a16d|IdentifyMimeType|IdentifyMimeType|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,380|4|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,381|6|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,382|5|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,383|6|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,384|5|0|09bb5188|check if filetype is allowed|EGS|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,385|4|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,386|3|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,386|1|0|3574b0f5|set filename|UA|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,390|5|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,391|5|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,391|5|0|308f89c6|fileType Allowed?|ROA|fileTypeAllowed|b8466a23|Get file type and validate |
2025-07-14 21:12:02,394|4|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,395|4|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,395|4|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
2025-07-14 21:12:02,797|0|1|7454742a|Join documents back together|MC|merged|b8466a23|Get file type and validate |
2025-07-14 21:12:02,797|445|1|7454742a|Join documents back together|MC|original|b8466a23|Get file type and validate |
2025-07-14 21:12:02,798|418|1|7454742a|Join documents back together|MC|original|b8466a23|Get file type and validate |
