TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-07-15 17:07:55,194|0|888|8aa0a79c|Listen for Document Upload Request|CJMS|success|26359b31|Upload Document|Filename: a801fdad-5e70-4952-9750-026d3214f71c | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=98B817D8F3134042A4A71D3C7426E90B, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=110009,companyId=1,createdDateTime=Tue Jul 15 17:07:55 ICT 2025,locale=EN,map=StringObjectMap%5BCONTRACT_AGR = byte%5B5102%5D, FRONT_ID = byte%5B5102%5D, REFERENCE_ID = 520233, PHOTOGRAPH = byte%5B5102%5D, CONFIRMER_IDFRONTSIDE = , PAY_SLIP = byte%5B5102%5D, CONFIRMER_FORM = , COMP_LICENSE = byte%5B5102%5D, BACK_ID = , REQ_LETTER = byte%5B5102%5D, OTHER2 = , CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = CORPORATE, SAF = byte%5B5102%5D, REFERENCE_ID2 = 520233, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001561,appActionId=100006%5D, datum=null}
2025-07-15 17:07:55,223|3|0|34f12475|POJO or JSON?|ROA|POJO|2461ad8e|Inspect Request|
2025-07-15 17:07:55,242|19|14|b529a33b|ReqMsg to JSON|PTJ|success|2461ad8e|Inspect Request|
2025-07-15 17:07:55,253|10|2|297cf2d8|Store Request Data in Attributes|EJP|matched|2461ad8e|Inspect Request|
2025-07-15 17:07:55,263|10|0|be852864|Set Initial Attribute values|UA|success|2461ad8e|Inspect Request|
2025-07-15 17:07:55,273|10|0|6cab0e8d|Set Initial Status|UA|success|2461ad8e|Inspect Request|
2025-07-15 17:07:55,287|1|0|d1cded52|Fetch Use Case Validation Parameters|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,309|23|22|d1cded52|Fetch Use Case Validation Parameters|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,317|8|0|06fcf341|Fetch Document Validation Data|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,405|96|88|06fcf341|Fetch Document Validation Data|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,416|10|0|dfe745f7|set filename|UA|success|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,426|10|0|ea59f9cf|Cache Request|PF|success|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,443|17|16|d94000ed|Remove documents in crmFormData map|EGS|success|9ef7ecfa|cache and strip document|
2025-07-15 17:07:55,478|11|0|346dc3f2|get cached request|FF|success|a4a389ce|Validate Upload Request|
2025-07-15 17:07:55,500|0|4|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,501|0|5|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,501|0|5|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,501|0|5|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,502|1|6|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,502|0|6|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,502|0|6|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,502|0|6|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,502|0|7|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,503|1|7|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,503|0|7|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,504|1|9|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 17:07:55,521|19|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-15 17:07:55,525|23|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-15 17:07:55,525|22|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-15 17:07:55,526|23|0|f5ba001a|Empty file (not mandatoy)|ROA|Empty file|b8466a23|Get file type and validate |
2025-07-15 17:07:55,527|6|0|ca7a9639|Set success content|RT|success|b8466a23|Get file type and validate |
