TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-07-15 16:09:08,664|2|419|8aa0a79c|Listen for Document Upload Request|CJMS|success|26359b31|Upload Document|Filename: a1f50cd2-db2c-4423-ac13-77bc66fc335e | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=CEFB66DB091D49DAACAA199DD0E5BD55, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=110009,companyId=1,createdDateTime=Tue Jul 15 16:09:08 ICT 2025,locale=EN,map=StringObjectMap%5BCONTRACT_AGR = byte%5B5102%5D, FRONT_ID = byte%5B5102%5D, REFERENCE_ID = 520231, PHOTOGRAPH = byte%5B5102%5D, CONFIRMER_IDFRONTSIDE = , PAY_SLIP = byte%5B5102%5D, CONFIRMER_FORM = , COMP_LICENSE = byte%5B5102%5D, BACK_ID = , REQ_LETTER = byte%5B5102%5D, OTHER2 = , CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = CORPORATE, SAF = byte%5B5102%5D, REFERENCE_ID2 = 520231, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001561,appActionId=100006%5D, datum=null}
2025-07-15 16:09:08,683|2|0|34f12475|POJO or JSON?|ROA|POJO|2461ad8e|Inspect Request|
2025-07-15 16:09:08,718|35|26|b529a33b|ReqMsg to JSON|PTJ|success|2461ad8e|Inspect Request|
2025-07-15 16:09:08,728|9|4|297cf2d8|Store Request Data in Attributes|EJP|matched|2461ad8e|Inspect Request|
2025-07-15 16:09:08,733|4|2|be852864|Set Initial Attribute values|UA|success|2461ad8e|Inspect Request|
2025-07-15 16:09:08,736|3|0|6cab0e8d|Set Initial Status|UA|success|2461ad8e|Inspect Request|
2025-07-15 16:09:08,751|10|0|d1cded52|Fetch Use Case Validation Parameters|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 16:09:08,762|21|11|d1cded52|Fetch Use Case Validation Parameters|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 16:09:08,793|31|24|06fcf341|Fetch Document Validation Data|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 16:09:08,837|75|69|06fcf341|Fetch Document Validation Data|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 16:09:08,844|5|0|dfe745f7|set filename|UA|success|9ef7ecfa|cache and strip document|
2025-07-15 16:09:08,863|19|6|ea59f9cf|Cache Request|PF|success|9ef7ecfa|cache and strip document|
2025-07-15 16:09:09,080|217|214|d94000ed|Remove documents in crmFormData map|EGS|success|9ef7ecfa|cache and strip document|
2025-07-15 16:09:09,117|9|0|346dc3f2|get cached request|FF|success|a4a389ce|Validate Upload Request|
2025-07-15 16:09:09,292|115|143|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,296|3|147|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,297|1|148|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,298|1|149|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,299|0|150|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,300|1|151|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,301|1|153|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,302|0|153|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,307|4|158|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,308|1|159|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,308|0|159|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 16:09:09,309|1|160|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
