TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-09-19 19:36:11,109|0|386|67d2492e|Listen for Document Upload Request|CJMS|success|0d47d155|Upload Document|Filename: 1aee5f8e-a553-46ce-be36-b8004b4e2233 | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=B285DAC1A85E4A3FBB81330A3CF24202, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=130000,companyId=1,username=mirnaisl,createdDateTime=Fri Sep 19 19:36:11 ICT 2025,locale=EN,map=StringObjectMap%5BSIM_CHANGE_FORM = byte%5B5102%5D, FRONT_ID = byte%5B5102%5D, REFERENCE_ID = 620003, PHOTOGRAPH = byte%5B5102%5D, CONFIRMER_IDFRONTSIDE = , CONFIRMER_FORM = , BACK_ID = , REQ_LETTER = , OTHER2 = , CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = SIM_CHANGE, SAF = byte%5B5102%5D, EXIST_PHOTOGRAPH = byte%5B5102%5D, REFERENCE_ID2 = 620003, EXIST_SAF = byte%5B5102%5D, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001615,appActionId=100006%5D, datum=null}
2025-09-19 19:36:11,126|9|0|59125f3c|POJO or JSON?|ROA|POJO|0ba4fe45|Inspect Request|
2025-09-19 19:36:11,130|3|1|533f0e30|ReqMsg to JSON|PTJ|success|0ba4fe45|Inspect Request|
2025-09-19 19:36:11,132|2|1|a1b5a8b1|Store Request Data in Attributes|EJP|matched|0ba4fe45|Inspect Request|
2025-09-19 19:36:11,142|10|0|8190a6bf|Set Initial Attribute values|UA|success|0ba4fe45|Inspect Request|
2025-09-19 19:36:11,151|9|0|9a6a5ec0|Set Initial Status|UA|success|0ba4fe45|Inspect Request|
2025-09-19 19:36:11,160|6|0|8e2e6b03|Fetch Use Case Validation Parameters|ESQLR|pre|1796af2b|cache and strip document|
2025-09-19 19:36:11,162|8|2|8e2e6b03|Fetch Use Case Validation Parameters|ESQLR|success|1796af2b|cache and strip document|
2025-09-19 19:36:11,170|8|0|8716a995|Fetch Document Validation Data|ESQLR|pre|1796af2b|cache and strip document|
2025-09-19 19:36:11,175|13|5|8716a995|Fetch Document Validation Data|ESQLR|success|1796af2b|cache and strip document|
2025-09-19 19:36:11,180|5|0|aadcbdc7|set filename|UA|success|1796af2b|cache and strip document|
2025-09-19 19:36:11,182|2|0|97904c89|Cache Request|PF|success|1796af2b|cache and strip document|
2025-09-19 19:36:11,185|3|1|24f4a9c1|Remove documents in crmFormData map|EGS|success|1796af2b|cache and strip document|
2025-09-19 19:36:11,223|10|0|cad7624d|get cached request|FF|success|b6c42a8a|Validate Upload Request|
2025-09-19 19:36:11,241|0|1|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,242|0|1|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,242|0|1|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,242|0|1|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,242|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,242|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|1|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,243|0|2|88329984|Split into individual flowfiles per document|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,257|15|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,258|16|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,258|15|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,259|16|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,259|16|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,260|17|0|03fe6a21|Empty file (not mandatoy)|ROA|Empty file|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,260|19|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,261|1|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,262|20|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,263|6|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,264|22|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,265|7|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,268|7|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,268|26|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,271|28|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,271|28|0|03fe6a21|Empty file (not mandatoy)|ROA|unmatched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,272|10|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,273|9|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,273|4|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,274|16|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,276|8|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,276|5|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,277|6|0|83e578c0|set target|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,277|18|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,278|19|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,278|18|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,281|9|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,283|7|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,286|13|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,287|14|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,287|6|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,288|12|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,288|11|0|f29dde9a|decode image|Base64EncodeContent|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,288|1|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,289|1|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,291|5|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,292|8|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,294|6|0|4fc580e0|IdentifyMimeType|IdentifyMimeType|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,295|8|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,297|5|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,298|10|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,299|2|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,304|9|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,304|5|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,306|16|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,308|17|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,309|5|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,309|15|0|8e0b4b67|check if filetype is allowed|EGS|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,309|5|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,309|0|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,310|1|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,315|9|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,316|8|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,316|7|0|2e5c96dd|set filename|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,320|5|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,321|5|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,322|6|0|2b31176b|fileType Allowed?|ROA|fileTypeAllowed|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,325|5|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,330|9|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,330|8|0|9459de61|Set success content|RT|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,504|3|4|df844215|Join documents back together|MC|merged|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,505|206|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,505|242|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,505|196|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|241|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|176|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|196|5|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|175|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|180|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|232|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|229|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|228|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,506|228|6|df844215|Join documents back together|MC|original|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,514|9|0|82c908d5|Evaluate success/failure|EJP|matched|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,526|12|0|d287e6d0|Trim success/failure attribute for evaluation|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,531|5|0|11fdc11a|All files valid?|ROA|All file types valid|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,539|8|0|ef585973|get cached request|FF|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,547|8|0|7e0fa968|Set mime type back to json|UA|success|8b6c08a7|Get file type and validate |
2025-09-19 19:36:11,567|11|5|a9821800|Validate Content of Upload Request|EGS|success|b6c42a8a|Validate Upload Request|
2025-09-19 19:36:11,578|9|0|64e2dbe0|Request valid?|ROA|unmatched|b6c42a8a|Validate Upload Request|
2025-09-19 19:36:11,587|9|2|3bc8803e|Remove documents in crmFormData map|UR|success|b6c42a8a|Validate Upload Request|
2025-09-19 19:36:11,599|9|0|43f15cd2|Check if web-api|ROA|unmatched|71acd0cb|Upload Document|
