TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-03-20 12:41:59,506|1|3|6ee758ab|HandleHttpRequest|HHREQ|success|b120b8b4|External EAI|Filename: 5bd5582c-61db-443c-a002-cf60cb12802d | MTNA - EAI, MM, USSD & Utility > EAI > External EAI | POST '/ISL_EAI/v1/enrollments/143535889231468' - Request: 
2025-03-20 12:41:59,532|26|0|e00d4682|Fix Http URI|UA|success|b120b8b4|External EAI|
2025-03-20 12:41:59,553|21|0|7e03080f|Ping Request?|ROA|unmatched|b120b8b4|External EAI|
2025-03-20 12:41:59,575|13|0|c38659a2|Decode Auth header|UA|success|c90ed526|Extract User & Pass From Req|
2025-03-20 12:41:59,583|8|0|e67e1620|64Decode User & Pass|UA|success|c90ed526|Extract User & Pass From Req|
2025-03-20 12:41:59,596|6|0|7740ee51|Fetch ext user record|ESQLR|pre|4737cb1e|Validate User|
2025-03-20 12:41:59,598|8|2|7740ee51|Fetch ext user record|ESQLR|success|4737cb1e|Validate User|
2025-03-20 12:41:59,600|1|0|7bb361b5|Valid User?|ROA|Valid User|4737cb1e|Validate User|
2025-03-20 12:41:59,617|17|0|c6d41111|Check Org?|ROA|unmatched|4737cb1e|Validate User|
2025-03-20 12:41:59,626|9|2|fd6a5468|Insert record in ISL_EXT_USER_USE|PSQL|success|4737cb1e|Validate User|
2025-03-20 12:41:59,645|1|0|556c7be9|Which HTTP Method?|ROA|HTTP POST|b120b8b4|External EAI|
2025-03-20 12:41:59,675|10|0|3af38309|Which API?|ROA|Registration|35a954db|POST APIs|
2025-03-20 12:41:59,724|15|0|28f4538e|Extract Request Data|EJP|matched|7c24d32d|Inspect Request|
2025-03-20 12:41:59,726|2|0|542917d0|Extract trxId and enrollmentId, Initialize Value|UA|success|7c24d32d|Inspect Request|
2025-03-20 12:41:59,736|10|0|4c0b2474|Prepare Audit Trail Attributes|UA|success|7c24d32d|Inspect Request|
2025-03-20 12:41:59,739|3|0|816945bc|Request Valid?|ROA|matched|7c24d32d|Inspect Request|
2025-03-20 12:41:59,740|1|0|df1edbc4|Check if enrollmentId exists|ESQLR|pre|7c24d32d|Inspect Request|
2025-03-20 12:41:59,743|4|3|df1edbc4|Check if enrollmentId exists|ESQLR|No Record Found|7c24d32d|Inspect Request|
2025-03-20 12:41:59,763|1|0|69370b49|Enrollment User present?|ROA|Enrollment User present|39b29132|Check For Username|
2025-03-20 12:41:59,767|4|0|6f8ca6c3|Find Isl User|ESQLR|pre|39b29132|Check For Username|
2025-03-20 12:41:59,769|6|2|6f8ca6c3|Find Isl User|ESQLR|No Record Found|39b29132|Check For Username|
2025-03-20 12:41:59,772|3|0|2bfbd238|Assign Default User|UA|success|39b29132|Check For Username|
2025-03-20 12:41:59,788|5|0|e83d7c81|Prepare Global Audit Trail Attributes|UA|success|22eb31c7|Log Audit Trail|
2025-03-20 12:41:59,804|16|0|38253a7c|Strip Big Data|LC|success|22eb31c7|Log Audit Trail|Filename: 5bd5582c-61db-443c-a002-cf60cb12802d | MTNA - EAI, MM, USSD & Utility > EAI > External EAI > Log Audit Trail | : { "enrollmentType": "RE_REG", "reqType": "updateMoMoProfile", "contextualData": { "enrollmentUser": "huawei-momo", "enrollmentDate": "2025-02-14T12:10:47Z", "mobileWalletProfile": "LOW_MOMO", "msisdn": "100000203", "MSISDN": "100000203", "rejectionReason": "TRANSLATION_REQUIRED" }}
2025-03-20 12:41:59,808|3|0|3743bf86|ExtractText|ET|matched|22eb31c7|Log Audit Trail|
2025-03-20 12:41:59,820|12|0|c163fee4|Prepare Description for Audit Trail|UA|success|22eb31c7|Log Audit Trail|
2025-03-20 12:41:59,825|14|0|ff67856b|Prepare Request|RT|success|940514b9|Call Core Registration|
2025-03-20 12:41:59,828|8|0|d9d492d0|Initialize SQL Query|UA|success|22eb31c7|Log Audit Trail|
