TIMESTAMP|QUEUE_TIME_MS|PROCESS_TIME_MS|PROCESSOR_UUID|PROCESSOR_NAME|COMPONENT|RELATIONSHIP|PG_UUID|PG_NAME|LOG
2025-07-15 15:29:40,714|0|933|8aa0a79c|Listen for Document Upload Request|CJMS|success|26359b31|Upload Document|Filename: a41da2a0-cf70-42a2-afb2-778a09d2589c | Document Handler > Upload Document | ISL-CORE.UPLOAD_DOCUMENTS_V5_REQ.TA - Request: ReqMsg{id=BF5B0514BDE74AD7B6A32C0BC9E853A3, name=UPLOAD_DOCUMENTS_V5_REQ, dataObject=String%5B50%5D,instanceId=110009,companyId=1,createdDateTime=Tue Jul 15 15:29:40 ICT 2025,locale=EN,map=StringObjectMap%5BCONTRACT_AGR = byte%5B5102%5D, FRONT_ID = byte%5B5102%5D, REFERENCE_ID = 520230, PHOTOGRAPH = byte%5B5102%5D, CONFIRMER_IDFRONTSIDE = , PAY_SLIP = byte%5B5102%5D, CONFIRMER_FORM = , COMP_LICENSE = byte%5B5102%5D, BACK_ID = , REQ_LETTER = byte%5B5102%5D, OTHER2 = , CONFIRMER_IDBACKSIDE = , USE_CASE_NAME = CORPORATE, SAF = byte%5B5102%5D, REFERENCE_ID2 = 520230, %5D ,state=PENDING - MPOS,retries=0,localId=0,enableWhiteList=true,checkOccupied=false,smsCount=0,appScreenId=40001561,appActionId=100006%5D, datum=null}
2025-07-15 15:29:40,747|10|0|34f12475|POJO or JSON?|ROA|POJO|2461ad8e|Inspect Request|
2025-07-15 15:29:40,760|13|2|b529a33b|ReqMsg to JSON|PTJ|success|2461ad8e|Inspect Request|
2025-07-15 15:29:40,770|10|1|297cf2d8|Store Request Data in Attributes|EJP|matched|2461ad8e|Inspect Request|
2025-07-15 15:29:40,777|7|0|be852864|Set Initial Attribute values|UA|success|2461ad8e|Inspect Request|
2025-07-15 15:29:40,786|9|0|6cab0e8d|Set Initial Status|UA|success|2461ad8e|Inspect Request|
2025-07-15 15:29:40,798|9|0|d1cded52|Fetch Use Case Validation Parameters|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,800|11|2|d1cded52|Fetch Use Case Validation Parameters|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,812|12|0|06fcf341|Fetch Document Validation Data|ESQLR|pre|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,818|18|6|06fcf341|Fetch Document Validation Data|ESQLR|success|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,821|2|0|dfe745f7|set filename|UA|success|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,828|7|0|ea59f9cf|Cache Request|PF|success|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,830|2|1|d94000ed|Remove documents in crmFormData map|EGS|success|9ef7ecfa|cache and strip document|
2025-07-15 15:29:40,848|3|0|346dc3f2|get cached request|FF|success|a4a389ce|Validate Upload Request|
2025-07-15 15:29:40,857|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,857|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|1|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|0|1|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
2025-07-15 15:29:40,858|0|2|fe6083ec|Split into individual flowfiles per document|EGS|success|b8466a23|Get file type and validate |
